id_transakcja,id_terapia,id_dziecko,kwota,numer_transakcji,sposob_platnosci,ocena_terapii
1,1,1,540,xx-1,karta,9
2,1,2,540,xx-2,karta,7
3,1,3,540,xx-3,przelew,4
4,1,4,540,xx-4,karta,8
5,1,5,540,xx-5,karta,10
6,1,6,540,xx-6,przelew,10
7,1,7,540,xx-7,gotowka,7
8,1,8,540,xx-8,karta,4
9,1,9,540,xx-9,karta,5
10,1,10,540,xx-10,karta,10
11,2,11,60,xx-11,gotowka,8
12,2,12,60,xx-12,przelew,3
13,2,13,60,xx-13,przelew,5
14,2,14,60,xx-14,karta,10
15,2,15,60,xx-15,karta,5
16,2,16,60,xx-16,przelew,6
17,3,1,90,xx-17,gotowka,8
18,3,2,90,xx-18,przelew,7
19,3,3,90,xx-19,przelew,9
20,3,4,90,xx-20,gotowka,9
21,3,5,90,xx-21,karta,7
22,3,6,90,xx-22,gotowka,5
23,3,7,90,xx-23,karta,9
24,3,8,90,xx-24,karta,9
25,3,9,90,xx-25,przelew,10
26,3,10,90,xx-26,przelew,10
27,4,11,30,xx-27,przelew,10
28,4,12,30,xx-28,przelew,6
29,4,13,30,xx-29,przelew,8
30,4,14,30,xx-30,karta,3
31,4,15,30,xx-31,przelew,5
32,4,16,30,xx-32,gotowka,8
33,5,1,240,xx-33,gotowka,7
34,5,2,240,xx-34,gotowka,10
35,5,3,240,xx-35,karta,4
36,5,4,240,xx-36,karta,10
37,5,5,240,xx-37,karta,3
38,5,6,240,xx-38,przelew,7
39,5,7,240,xx-39,gotowka,5
40,5,8,240,xx-40,gotowka,9
41,5,9,240,xx-41,przelew,6
42,5,10,240,xx-42,karta,4
43,6,11,45,xx-43,karta,6
44,6,12,45,xx-44,gotowka,8
45,6,13,45,xx-45,gotowka,10
46,6,14,45,xx-46,przelew,4
47,6,15,45,xx-47,karta,3
48,6,16,45,xx-48,przelew,9
49,7,1,180,xx-49,gotowka,4
50,7,3,180,xx-50,karta,6
51,7,4,180,xx-51,karta,4
52,7,5,180,xx-52,gotowka,8
53,7,6,180,xx-53,gotowka,5
54,7,7,180,xx-54,gotowka,5
55,7,8,180,xx-55,przelew,7
56,7,9,180,xx-56,przelew,8
57,7,10,180,xx-57,gotowka,10
58,8,11,450,xx-58,gotowka,6
59,8,12,450,xx-59,przelew,9
60,8,13,450,xx-60,przelew,8
61,8,14,450,xx-61,karta,5
62,8,15,450,xx-62,przelew,6
63,8,16,450,xx-63,karta,7
64,9,1,45,xx-64,gotowka,8
65,9,3,45,xx-65,przelew,6
66,9,4,45,xx-66,przelew,8
67,9,5,45,xx-67,karta,5
68,9,6,45,xx-68,karta,6
69,9,7,45,xx-69,przelew,10
70,9,8,45,xx-70,przelew,4
71,9,9,45,xx-71,przelew,6
72,9,10,45,xx-72,przelew,8
73,10,12,450,xx-73,przelew,8
74,10,13,450,xx-74,karta,3
75,10,14,450,xx-75,karta,5
76,10,15,450,xx-76,karta,9
77,10,16,450,xx-77,przelew,10
78,11,17,420,xx-78,karta,4
79,11,18,420,xx-79,gotowka,7
80,11,19,420,xx-80,gotowka,9
81,11,20,420,xx-81,gotowka,9
82,11,21,420,xx-82,karta,7
83,11,22,420,xx-83,gotowka,8
84,11,23,420,xx-84,przelew,7
85,11,24,420,xx-85,karta,7
86,11,25,420,xx-86,przelew,8
87,11,26,420,xx-87,przelew,10
88,12,27,270,xx-88,gotowka,8
89,12,28,270,xx-89,przelew,5
90,12,29,270,xx-90,karta,8
91,12,30,270,xx-91,karta,9
92,12,31,270,xx-92,karta,4
93,12,32,270,xx-93,przelew,9
94,13,1,300,xx-94,gotowka,8
95,13,3,300,xx-95,gotowka,6
96,13,5,300,xx-96,przelew,3
97,13,6,300,xx-97,przelew,6
98,13,7,300,xx-98,gotowka,8
99,13,8,300,xx-99,karta,7
100,13,9,300,xx-100,karta,4
101,13,10,300,xx-101,gotowka,8
102,14,12,60,xx-102,gotowka,3
103,14,13,60,xx-103,gotowka,10
104,14,15,60,xx-104,gotowka,4
105,14,16,60,xx-105,karta,10
